FID,,longitude,latitude,Drought,area_km2,area_ha
,,42.31783295,0.6505770684,severe,36.47425,3647.42491
,,42.31893366,0.6498541744,severe,36.47425,3647.42491
,,42.32032394,0.6489411,severe,36.47425,3647.42491
,,42.32466507,0.6493499282,severe,36.47425,3647.42491
,,42.32494281,0.6473880877,severe,36.47425,3647.42491
,,42.3250885,0.6463589674,severe,36.47425,3647.42491
,,42.32023239,0.6411289573,severe,36.47425,3647.42491
,,42.32140294,0.6395183102,severe,36.47425,3647.42491
,,42.32157898,0.6392760877,severe,36.47425,3647.42491
,,42.33433151,0.6363731022,severe,36.47425,3647.42491
,,42.34330368,0.6224849222,severe,36.47425,3647.42491
,,42.34673309,0.6229060289,severe,36.47425,3647.42491
,,42.34862137,0.6281680467,severe,36.47425,3647.42491
,,42.34729385,0.631859958,severe,36.47425,3647.42491
,,42.34633587,0.6342805876,severe,36.47425,3647.42491
,,42.34574127,0.6357830157,severe,36.47425,3647.42491
,,42.33649568,0.6476958663,severe,36.47425,3647.42491
,,42.33584595,0.6485330461,severe,36.47425,3647.42491
,,42.55918121,0.3943489786,severe,36.47425,3647.42491
,,42.54171753,0.3925309182,severe,36.47425,3647.42491
,,42.54282761,0.3897610611,severe,36.47425,3647.42491
,,42.543051,0.3895988378,severe,36.47425,3647.42491
,,42.54893494,0.3853260284,severe,36.47425,3647.42491
,,42.55317688,0.3772369629,severe,36.47425,3647.42491
,,42.55611038,0.3744459754,severe,36.47425,3647.42491
,,42.56339645,0.3729819951,severe,36.47425,3647.42491
,,42.56285615,0.377155148,severe,36.47425,3647.42491
,,42.56277084,0.3778139949,severe,36.47425,3647.42491
,,42.55918121,0.3831380012,severe,36.47425,3647.42491
,,47.04071005,10.44450997,severe,36.47425,3647.42491
,,46.97059493,10.39057526,severe,36.47425,3647.42491
,,46.8732229,10.30015838,severe,36.47425,3647.42491
,,46.7480303,10.19583121,severe,36.47425,3647.42491
,,46.61588254,10.09150403,severe,36.47425,3647.42491
,,46.51155537,10.02195259,severe,36.47425,3647.42491
,,46.43504878,9.952401138,severe,36.47425,3647.42491
,,46.34463189,9.896759979,severe,36.47425,3647.42491
,,46.31056388,9.866477296,severe,36.47425,3647.42491
,,46.18457302,9.807681563,severe,36.47425,3647.42491
,,46.08933752,9.775936397,severe,36.47425,3647.42491
,,45.96616217,9.687250145,severe,36.47425,3647.42491
,,45.87113283,9.639735474,severe,36.47425,3647.42491
,,45.70483148,9.568463466,severe,36.47425,3647.42491
,,45.5860448,9.485312791,severe,36.47425,3647.42491
,,45.49101546,9.402162116,severe,36.47425,3647.42491
,,45.37222878,9.283375437,severe,36.47425,3647.42491
,,45.2534421,9.140831423,severe,36.47425,3647.42491
,,45.18217009,9.093316751,severe,36.47425,3647.42491
,,45.01586874,8.974530072,severe,36.47425,3647.42491
,,45.01286274,8.970235778,severe,36.47425,3647.42491
,,44.94718627,8.925083208,severe,36.47425,3647.42491
,,44.88530299,8.875576586,severe,36.47425,3647.42491
,,44.80485473,8.826069963,severe,36.47425,3647.42491
,,44.74297145,8.795128324,severe,36.47425,3647.42491
,,44.71863547,8.776408337,severe,36.47425,3647.42491
,,44.70658275,8.772390763,severe,36.47425,3647.42491
,,44.69851722,8.769164553,severe,36.47425,3647.42491
,,44.69203,8.77143,severe,36.47425,3647.42491
,,44.69095421,8.771782833,severe,36.47425,3647.42491
,,44.5869,8.80591,severe,36.47425,3647.42491
,,44.55684,8.81575,severe,36.47425,3647.42491
,,44.52569,8.82669,severe,36.47425,3647.42491
,,44.52008,8.8305,severe,36.47425,3647.42491
,,44.50245,8.83456,severe,36.47425,3647.42491
,,44.46691,8.84602,severe,36.47425,3647.42491
,,44.44437,8.85329,severe,36.47425,3647.42491
,,44.37903,8.87647,severe,36.47425,3647.42491
,,44.34656,8.88612,severe,36.47425,3647.42491
,,44.32072,8.89379,severe,36.47425,3647.42491
,,44.27071,8.91149,severe,36.47425,3647.42491
,,44.25284,8.91575,severe,36.47425,3647.42491
,,44.23446,8.92254,severe,36.47425,3647.42491
,,44.22587,8.925,severe,36.47425,3647.42491
,,44.17962,8.93829,severe,36.47425,3647.42491
,,44.10496,8.96349,severe,36.47425,3647.42491
,,44.03842,8.98593,severe,36.47425,3647.42491
,,44.03379,8.98606,severe,36.47425,3647.42491
,,44.00586,8.99656,severe,36.47425,3647.42491
,,43.98879,9.01077,severe,36.47425,3647.42491
,,43.98564,9.01339,severe,36.47425,3647.42491
,,43.89731,9.10044,severe,36.47425,3647.42491
,,43.88562,9.11366,severe,36.47425,3647.42491
,,43.88428,9.11526,severe,36.47425,3647.42491
,,43.87187,9.13015,severe,36.47425,3647.42491
,,43.80928,9.19438,severe,36.47425,3647.42491
,,43.79698,9.20695,severe,36.47425,3647.42491
,,43.76982,9.23471,severe,36.47425,3647.42491
,,43.7656,9.23715,severe,36.47425,3647.42491
,,43.70756,9.29647,severe,36.47425,3647.42491
,,43.66749,9.33739,severe,36.47425,3647.42491
,,43.66556,9.34103,severe,36.47425,3647.42491
,,43.66324,9.34167,severe,36.47425,3647.42491
,,43.65681,9.35004,severe,36.47425,3647.42491
,,43.64669,9.35833,severe,36.47425,3647.42491
,,43.62607973,9.358638474,severe,36.47425,3647.42491
,,43.60727,9.35892,severe,36.47425,3647.42491
,,43.60154,9.35901,severe,36.47425,3647.42491
,,43.59387,9.36069,severe,36.47425,3647.42491
,,43.56561,9.37274,severe,36.47425,3647.42491
,,43.55542686,9.375496138,severe,36.47425,3647.42491
,,43.53487,9.38106,severe,36.47425,3647.42491
,,43.51992,9.38718,severe,36.47425,3647.42491
,,43.49137,9.40152,severe,36.47425,3647.42491
,,43.48915,9.40325,severe,36.47425,3647.42491
,,43.4683,9.41941,severe,36.47425,3647.42491
,,43.44552,9.44489,severe,36.47425,3647.42491
,,43.43223,9.4708,severe,36.47425,3647.42491
,,43.41729,9.50458,severe,36.47425,3647.42491
,,43.41371,9.51268,severe,36.47425,3647.42491
,,43.41026,9.53283,severe,36.47425,3647.42491
,,43.40488,9.54582,severe,36.47425,3647.42491
,,43.39824,9.55279,severe,36.47425,3647.42491
,,43.37518,9.56907,severe,36.47425,3647.42491
,,43.37132,9.57611,severe,36.47425,3647.42491
,,43.36067,9.58622,severe,36.47425,3647.42491
,,43.34155,9.5986,severe,36.47425,3647.42491
,,43.34062,9.60029,severe,36.47425,3647.42491
,,43.32478,43.32478,severe,36.47425,3647.42491
,,43.3069,9.60827,severe,36.47425,3647.42491
,,43.2992,9.61109,severe,36.47425,3647.42491
,,43.29732196,9.620156136,severe,36.47425,3647.42491
,,43.28964983,9.657192918,severe,36.47425,3647.42491
,,43.28958,9.65753,severe,36.47425,3647.42491
,,43.28373,9.69065,severe,36.47425,3647.42491
,,43.26995,9.76855,severe,36.47425,3647.42491
,,43.26906,9.78737,severe,36.47425,3647.42491
,,43.26299,9.8151,severe,36.47425,3647.42491
,,43.25687,9.84264,severe,36.47425,3647.42491
,,43.18181,9.88267,severe,36.47425,3647.42491
,,43.16848,9.88814,severe,36.47425,3647.42491
,,43.16215,9.89074,severe,36.47425,3647.42491
,,43.14989,9.89943,severe,36.47425,3647.42491
,,43.14608798,9.898970145,severe,36.47425,3647.42491
,,43.14526,9.89887,severe,36.47425,3647.42491
,,43.14448216,9.892667203,severe,36.47425,3647.42491
,,43.14448,9.89265,severe,36.47425,3647.42491
,,43.13813,9.8863,severe,36.47425,3647.42491
,,43.12885,9.88632,severe,36.47425,3647.42491
,,43.09986,9.89648,severe,36.47425,3647.42491
,,43.08947,9.90452,severe,36.47425,3647.42491
,,43.0859,9.9088,severe,36.47425,3647.42491
,,43.07638,9.93319,severe,36.47425,3647.42491
,,43.06518,9.96189,severe,36.47425,3647.42491
,,43.06182,9.96687,severe,36.47425,3647.42491
,,43.0489,10,severe,36.47425,3647.42491
,,43.02924,10.05042,severe,36.47425,3647.42491
,,43.0174,10.08078,severe,36.47425,3647.42491
,,43.01065,10.09143,severe,36.47425,3647.42491
,,43,10.1012,severe,36.47425,3647.42491
,,42.99321,10.10567,severe,36.47425,3647.42491
,,42.97863,10.11705,severe,36.47425,3647.42491
,,42.94323,10.15143,severe,36.47425,3647.42491
,,42.942,10.15253,severe,36.47425,3647.42491
,,42.88115,10.20711,severe,36.47425,3647.42491
,,42.87939802,10.20900337,severe,36.47425,3647.42491
,,42.91921357,10.24085581,severe,36.47425,3647.42491
,,43.04204181,10.24904436,severe,36.47425,3647.42491
,,43.1566815,10.24085581,severe,36.47425,3647.42491
,,43.23037844,10.19991307,severe,36.47425,3647.42491
,,43.32045248,10.15078177,severe,36.47425,3647.42491
,,43.36958378,10.08527338,severe,36.47425,3647.42491
,,43.44328072,10.04433063,severe,36.47425,3647.42491
,,43.45430439,10.02779512,severe,36.47425,3647.42491
,,43.49028816,10.00451151,severe,36.47425,3647.42491
,,43.51669936,10.00073848,severe,36.47425,3647.42491
,,43.52128224,10.00119676,severe,36.47425,3647.42491
,,43.59191799,9.957728613,severe,36.47425,3647.42491
,,43.69275379,9.926217424,severe,36.47425,3647.42491
,,43.77468288,9.913612948,severe,36.47425,3647.42491
,,43.85030974,9.913612948,severe,36.47425,3647.42491
,,43.95744778,9.926217424,severe,36.47425,3647.42491
,,44.05828359,9.926217424,severe,36.47425,3647.42491
,,44.1591194,9.9388219,severe,36.47425,3647.42491
,,44.27255968,9.945124138,severe,36.47425,3647.42491
,,44.36709325,9.957728613,severe,36.47425,3647.42491
,,44.47423129,9.964030851,severe,36.47425,3647.42491
,,44.51834696,9.964030851,severe,36.47425,3647.42491
,,44.63178724,9.964030851,severe,36.47425,3647.42491
,,44.69480962,9.970333089,severe,36.47425,3647.42491
,,44.77673871,9.989239803,severe,36.47425,3647.42491
,,44.82085438,10.00184428,severe,36.47425,3647.42491
,,44.9405969,10.02075099,severe,36.47425,3647.42491
,,45.03513047,10.04595994,severe,36.47425,3647.42491
,,45.12966403,10.07747113,severe,36.47425,3647.42491
,,45.23680208,10.11528456,severe,36.47425,3647.42491
,,45.39435803,10.15309799,severe,36.47425,3647.42491
,,45.57082069,10.22242261,severe,36.47425,3647.42491
,,45.7220744,10.27284051,severe,36.47425,3647.42491
,,45.81030573,10.32325841,severe,36.47425,3647.42491
,,45.87963034,10.37997855,severe,36.47425,3647.42491
,,45.93004825,10.42409422,severe,36.47425,3647.42491
,,46.01197734,10.49341884,severe,36.47425,3647.42491
